id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2478131,Songbird Suite in East Nashville,2478371,Brynn,,District 6,36.16591228,-86.75098453,Private room,91,1,178,9/2/16,6.65,1,129
7115636,EastsideCentral-heart of Nashville,6684609,Meghan & Greg,,District 6,36.1727018,-86.75760573,Entire home/apt,155,2,59,8/30/16,4.25,1,130
2181743,Urban Cottage near 5Points/Downtown,7073590,Brigitte,,District 6,36.16975546,-86.73837264,Entire home/apt,135,1,96,8/20/16,3.45,3,272
5947139,Urban 1br Basement Apt,30874017,Merrill,,District 6,36.16547488,-86.74592316,Entire home/apt,80,1,83,8/25/16,6.18,1,201
8591039,Urban-chic 1 BR apt in East Nash,45212096,Shauna Rae,,District 6,36.17038867,-86.76527862,Entire home/apt,150,2,39,8/29/16,3.97,1,285
9188932,Honky-Tonk Roadhouse:12 Beds Total!,319913,Reservations,,District 6,36.17162364,-86.75112721,Entire home/apt,607,3,13,8/14/16,1.78,25,285
13275330,Eastside Enchantment,30799064,Angela,,District 6,36.16202538,-86.75017593,Entire home/apt,125,1,9,9/5/16,3.46,1,113
10228685,Cozy Private Room with own entrance,17330108,Joshua,,District 6,36.16990923,-86.7578082,Private room,75,1,30,9/3/16,4.25,1,342
13557456,"Cozy, private room in East Nashville/Five Points!",30277036,Megan,,District 6,36.17323091,-86.74666863,Private room,65,1,7,8/23/16,3.75,1,354
3696870,Walkable in East Nashville,18830581,Mike & Kate,,District 6,36.17249167,-86.75695832,Private room,125,2,121,8/29/16,4.7,2,157
674159,East Nashville - Clean Quiet Suite,3422455,John,,District 6,36.17242349,-86.73741579,Entire home/apt,125,2,155,8/28/16,3.46,1,317
11718982,East Nashville Escape - Private Rm,38709074,Don & Janet,,District 6,36.18994716,-86.73754906,Private room,87,1,13,8/21/16,2.52,1,63
8428079,East Nashville Gem,44385020,Mary,,District 6,36.16864725,-86.73720533,Private room,50,2,51,8/16/16,4.53,2,66
11227634,1 Bed guest house in Five Points,473884,Max,,District 6,36.18158304,-86.74533976,Entire home/apt,89,2,41,9/1/16,6.18,2,274
9691851,Whole home/Less than 2 miles from Lower Broadway,18206932,Bryan & Steph,,District 6,36.17008054,-86.74219974,Entire home/apt,175,3,5,7/19/16,1.18,4,340
11981058,The Willie Nelson House,39918714,Aerial BNB,,District 6,36.16679368,-86.74170398,Entire home/apt,775,2,15,8/28/16,2.9,4,345
9862417,D and B's Stone Bungalow,17302481,Bonnie & Dave,,District 6,36.18192987,-86.73968133,Private room,80,2,27,8/26/16,4.48,1,345
9711714,Mini Musical Haven,27179405,Devon,,District 6,36.18854171,-86.72683185,Entire home/apt,79,2,15,8/21/16,1.64,1,54
14743579,"East Nashville, 3 miles to downtown",57829473,Shilah,,District 6,36.17998616,-86.72668173,Private room,50,1,5,9/5/16,5,1,344
9212724,Prime East Nashville location!,3024412,Clare,,District 6,36.18122935,-86.73863584,Private room,120,2,15,8/10/16,1.52,1,349
6853541,Fabulous Condo in Historic 5 Points,6204305,Alexandra,,District 6,36.17441516,-86.74915385,Entire home/apt,145,1,12,5/8/16,0.82,1,0
14216508,Cozy Apartment in East Nashville!,85360355,StayLocalNashville,,District 6,36.17657004,-86.74687907,Entire home/apt,83,1,0,,,41,227
13030649,"The ""Blue Door"" House",43619886,Jimmy,,District 6,36.16442226,-86.74683109,Entire home/apt,225,3,2,8/2/16,0.7,1,0
12399843,Cosy 5 Points East Nashville Suite,20061797,Savannah,,District 6,36.17620927,-86.74073064,Private room,85,1,34,8/22/16,7.08,1,66
5685029,Stylish East Nashville Getaway,18115633,Nathan,,District 6,36.17277275,-86.7458623,Entire home/apt,220,2,40,8/27/16,2.34,1,304
14754882,Music City Downtown Penthouse - 1900 Sq ft.,91980458,Austin,,District 6,36.17223074,-86.76605682,Entire home/apt,400,3,0,,,1,350
