id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4589416,Private 2 Room Suite w/separate kitchenette & bath,18090781,Linda,,Agoura Hills,34.13997527,-118.744338,Private room,105,2,72,2/20/17,2.87,1,164
15084404,2 bedrooms in Brand New Home near Malibu,8763207,Hayley,,Agoura Hills,34.13928845,-118.7466876,Private room,150,1,0,,,2,87
14821131,"Malibu, Beach, Westlake, State Parks :)",73192868,Sabrina,,Agoura Hills,34.15372719,-118.7553523,Private room,75,1,10,1/3/17,1.66,2,180
10562543,"2B, 2 1/2Bath right off HWY 101",32380257,Wendy,,Agoura Hills,34.14544586,-118.7437857,Entire home/apt,127,30,0,,,3,365
6423582,Private CalKing right off Hwy 101,32380257,Wendy,,Agoura Hills,34.14597928,-118.7430913,Private room,60,30,13,1/7/17,0.66,3,357
9111945,Private & Lux Suite in Agoura Hills,47486557,Rick And Lori,,Agoura Hills,34.14905475,-118.780352,Private room,56,1,28,2/15/17,1.9,1,167
6076275,LAì_ ì_êë_¬,31539640,La,,Arlington Heights,34.05246279,-118.3169977,Shared room,35,2,35,9/2/16,1.59,2,365
6390085,LAì_ ì_êë_¬4(man's room),31539640,La,,Arlington Heights,34.05235201,-118.3166458,Shared room,35,2,11,7/19/16,0.51,2,365
13605429,JUST LIKE HOME,53789243,Bianca,,Arlington Heights,34.05138859,-118.3212147,Entire home/apt,232,1,2,9/25/16,0.28,2,365
16696933,A Bed in Female Room at Olympic 3/5,109398642,Adem,,Arlington Heights,34.05270368,-118.3187486,Shared room,22,1,5,2/13/17,3,18,358
16696832,A Bed in Female Room at Olympic 3/4,109398642,Adem,,Arlington Heights,34.05259104,-118.3186928,Shared room,24,1,8,2/19/17,4.8,18,354
16696693,A Bed in Female Room at Olympic 3/3,109398642,Adem,,Arlington Heights,34.05268955,-118.3171043,Shared room,23,1,4,2/27/17,4,18,152
288038,Monthly Dorms at Gramercy Place,1497543,Kellie,,Arlington Heights,34.04640699,-118.3139388,Shared room,33,7,67,10/31/16,1.06,17,365
4242907,Tiny and cozy room near downtown LA,3541461,Elena,,Arlington Heights,34.04599349,-118.3189441,Private room,45,15,6,12/7/16,0.21,3,218
1403949,Elegant Private Suite- LA,7577256,Nia,,Arlington Heights,34.05016916,-118.3188691,Private room,99,1,44,11/8/15,1.01,2,365
308582,Gramercy Place Dorm Rooms,1497543,Kellie,,Arlington Heights,34.04610511,-118.3131903,Shared room,33,7,13,7/17/15,0.22,17,365
16759239,Olympic Shared Space 1/5,109398642,Adem,,Arlington Heights,34.05213815,-118.3180648,Shared room,24,1,1,1/23/17,0.75,18,336
16759072,Olympic Shared Space 1/4,109398642,Adem,,Arlington Heights,34.05267476,-118.3175181,Shared room,24,1,3,2/19/17,1.84,18,361
2203321,"Entire 1BD ""Lower"" Apt. Mid-City/LA",6245770,Jesse,,Arlington Heights,34.03990931,-118.3239512,Entire home/apt,83,1,117,2/20/17,3.4,3,57
16758832,Olympic Shared Space 1/1,109398642,Adem,,Arlington Heights,34.05255163,-118.3180788,Shared room,23,1,1,1/23/17,0.75,18,328
11859089,LA town home,63208372,Linda,,Arlington Heights,34.04686527,-118.3204189,Private room,56,1,17,2/27/17,1.82,1,124
4510204,Mid-City LA Private Bedroom!,16660123,Berry,,Arlington Heights,34.03993737,-118.3162997,Private room,65,1,1,1/2/16,0.07,1,0
14085238,BEAUTIFUL room in midcity,84693372,Sidney,,Arlington Heights,34.05067181,-118.3185789,Private room,55,1,1,8/8/16,0.14,1,0
14284554,"Large 1Bed, 1Bath in Mid Los Angeles",82410198,Doug,,Arlington Heights,34.05402868,-118.3210839,Entire home/apt,60,5,12,2/12/17,1.79,1,28
3209078,Central House & Garden Parking WiFi,4365606,Thomas,,Arlington Heights,34.03786725,-118.3282551,Entire home/apt,118,3,57,2/20/17,1.82,1,348
16703741,A Bed in Female Room at Olympic 3/6,109398642,Adem,,Arlington Heights,34.05294,-118.3181168,Shared room,25,1,1,1/27/17,0.83,18,181
5175424,Havana Hollywood!  Private-Central!,1763193,Jamie,,Arlington Heights,34.04984075,-118.3248396,Private room,99,1,7,1/7/16,0.29,14,365
13628151,1 BD + 1 BA + 1 Parking in Koreatown,78993536,Bill,,Arlington Heights,34.05232824,-118.3221859,Entire home/apt,75,2,13,2/3/17,1.54,1,29
13301943,Magnificent New Craftsman Studio,9111869,Carolyn,,Arlington Heights,34.03775062,-118.3209606,Entire home/apt,95,1,62,2/18/17,7.05,2,95
8115918,Craftsman Hospitality in Midtown LA,20283575,Robert,,Arlington Heights,34.0436211,-118.3233114,Private room,90,1,3,8/27/16,0.23,1,365
